,Unnamed: 0,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,0.0,2020-09-26,AAPL,USD,2020-10-30,2020-10-29 18:06:25,FY,68628750000.0,42389750000.0,26239000000.0,0.09558311931952726,4688000000.0,4979000000.0,0.0,-21750000.0,9667000000.0,52056750000.0,718250000.0,2764000000.0,19336000000.0,0.07043695244340024,16572000000.0,0.06036828588601724,-21750000.0,16772750000.0,0.06109957561517575,2420000000.0,14352750000.0,0.05228402819518049,0.8275,0.82,4338029750.0,4382053500.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,405146504.25,14:46:57,5052627.25
1,0.25,2019-09-28,AAPL,USD,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,65043500000.0,40445500000.0,24598000000.0,0.0945444202725868,4054250000.0,4561250000.0,0.0,105500000.0,8615500000.0,49061000000.0,894000000.0,3136750000.0,19119250000.0,0.0734863975647067,15982500000.0,0.06143004297124233,105500000.0,16434250000.0,0.06316638096043417,2620250000.0,13814000000.0,0.05309523626496114,0.748125,0.743125,4617834000.0,4648913000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,405146504.25,14:46:57,5052627.25
2,0.5,2018-09-29,AAPL,USD,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,66398750000.0,40939000000.0,25459750000.0,0.09585929705001978,3559000000.0,4176250000.0,0.0,-110250000.0,7735250000.0,48674250000.0,810000000.0,2725750000.0,20450250000.0,0.0769978727009168,17724500000.0,0.06673506654869256,-110250000.0,18225750000.0,0.06862233852293906,3343000000.0,14882750000.0,0.05603550518646812,0.750625,0.744375,4955377000.0,5000109000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,405146504.25,14:46:57,5052627.25
3,0.75,2017-09-30,AAPL,USD,2017-11-03 00:00:00,2017-11-03 08:01:37,FY,57308500000.0,35262000000.0,22046500000.0,0.09617465122974778,2895250000.0,3815250000.0,0.0,-33250000.0,6710500000.0,41972500000.0,580750000.0,2539250000.0,17875250000.0,0.0779781795021681,15336000000.0,0.06690107052182485,-33250000.0,16022250000.0,0.06989473638291002,3934500000.0,12087750000.0,0.05273105211268834,0.579375,0.575625,5217242000.0,5251692000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,405146504.25,14:46:57,5052627.25
4,1.0,2016-09-24,AAPL,USD,2016-10-26 00:00:00,2016-10-26 16:42:16,FY,53909750000.0,32844000000.0,21065750000.0,0.09768988912024262,2511250000.0,3548500000.0,0.0,-298750000.0,6059750000.0,38903750000.0,364000000.0,2626250000.0,17632250000.0,0.08176744466446237,15006000000.0,0.06958852526676529,-298750000.0,15343000000.0,0.07115132234892575,3921250000.0,11421750000.0,0.052966995766072,0.521875,0.519375,5470820000.0,5500281000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,405146504.25,14:46:57,5052627.25
5,1.25,2015-09-26,AAPL,USD,2015-10-28 00:00:00,2015-10-28 16:31:09,FY,58428750000.0,35022250000.0,23406500000.0,0.10014975504353593,2016750000.0,3582250000.0,0.0,-225750000.0,5599000000.0,40621250000.0,183250000.0,2814250000.0,20621750000.0,0.08823460197248786,17807500000.0,0.07619322679331665,-225750000.0,18128750000.0,0.07756776415720003,4780250000.0,13348500000.0,0.0571144342468391,0.58,0.57625,5753421000.0,5793069000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,405146504.25,14:46:57,5052627.25
6,1.5,2014-09-27,AAPL,USD,2014-10-27 00:00:00,2014-10-27 17:11:55,FY,45698750000.0,28064500000.0,17634250000.0,0.09647008944445964,1510250000.0,2998250000.0,0.0,-107750000.0,4508500000.0,32573000000.0,96000000.0,1986500000.0,15112250000.0,0.08267321316228562,13125750000.0,0.07180584808118384,-107750000.0,13370750000.0,0.07314614732350448,3493250000.0,9877500000.0,0.0540359419021308,0.405625,0.403125,6085572000.0,6122663000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,405146504.25,14:46:57,5052627.25
7,1.75,2013-09-28,AAPL,USD,2013-10-30 00:00:00,2013-10-29 20:38:28,FY,42727500000.0,26651500000.0,16076000000.0,0.09406120180211808,1118750000.0,2707500000.0,0.0,-81000000.0,3826250000.0,30477750000.0,34000000.0,1689250000.0,13939000000.0,0.08155754490667602,12249750000.0,0.0716736879059154,-81000000.0,12538750000.0,0.07336463635831725,3279500000.0,9259250000.0,0.05417617459481599,0.35741075,0.35491075,6477317000.0,6521634000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,405146504.25,14:46:57,5052627.25
8,2.0,2012-09-29,AAPL,USD,2012-10-31 00:00:00,2012-10-31 17:07:19,FY,39127000000.0,21961500000.0,17165500000.0,0.10967809952206915,845250000.0,2510000000.0,0.0,-141500000.0,3355250000.0,25316750000.0,0.0,819250000.0,14629500000.0,0.09347445497993713,13810250000.0,0.08823989827996012,-141500000.0,13940750000.0,0.08907372147110691,3507500000.0,10433250000.0,0.06666272650599331,0.3985715,0.3941965,6543726000.0,6617485000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,405146504.25,14:46:57,5052627.25
9,2.25,2011-09-24,AAPL,USD,2011-10-26 00:00:00,2011-10-26 16:35:25,FY,27062250000.0,16107750000.0,10954500000.0,0.1011972396973644,607250000.0,1899750000.0,0.0,-26000000.0,2507000000.0,18614750000.0,0.0,453500000.0,8901000000.0,0.08222708754815287,8447500000.0,0.07803767240344023,-26000000.0,8551250000.0,0.07899611081857569,2070750000.0,6480500000.0,0.0598666038485344,0.2504465,0.24714274999999997,6469806000.0,6556515000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,405146504.25,14:46:57,5052627.25
10,2.5,2010-09-25,AAPL,USD,2010-10-27 00:00:00,2010-10-27 16:36:21,FY,16306250000.0,9885250000.0,6421000000.0,0.09844384821770792,445500000.0,1379250000.0,0.0,-39000000.0,1824750000.0,11710000000.0,0.0,256750000.0,4853000000.0,0.07440398620160983,4596250000.0,0.07046761211192028,-39000000.0,4635000000.0,0.07106170946722883,1131750000.0,3503250000.0,0.05371023380605596,0.13758925,0.13526775,6366227000.0,6472984000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm,405146504.25,14:46:57,5052627.25
11,2.75,2009-09-26,AAPL,USD,2009-10-27 00:00:00,2009-10-27 16:18:29,FY,9134250000.0,5849250000.0,3285000000.0,0.08990885951227523,333250000.0,1037250000.0,0.0,-20250000.0,1370500000.0,7219750000.0,0.0,183500000.0,2098000000.0,0.05742124421818979,1914500000.0,0.05239893806278567,-20250000.0,1996000000.0,0.05462955360319676,570000000.0,1426000000.0,0.03902892957823576,0.0570535,0.056160749999999995,6251112000.0,6349035000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm,405146504.25,14:46:57,5052627.25
12,3.0,2008-09-27,AAPL,USD,2008-11-05 00:00:00,2008-11-05 06:16:23,FY,8119750000.0,5333500000.0,2786250000.0,0.08578620031404907,277250000.0,940250000.0,0.0,-8250000.0,1217500000.0,6551000000.0,0.0,118250000.0,1687000000.0,0.05194125434896395,1568750000.0,0.04830044028449152,-8250000.0,1723750000.0,0.05307275470303889,515250000.0,1208500000.0,0.037208657902029006,0.0489285,0.04785725,6171144000.0,6314973000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm,405146504.25,14:46:57,5052627.25
13,3.25,2007-09-29,AAPL,USD,2007-11-15 00:00:00,2007-11-15 16:49:37,FY,6001500000.0,3963000000.0,2038500000.0,0.08491627093226692,195500000.0,740750000.0,0.0,-12000000.0,936250000.0,4899250000.0,0.0,79250000.0,1181500000.0,0.0492168624510539,1102250000.0,0.045915604432225275,-12000000.0,1252000000.0,0.052153628259601764,378000000.0,874000000.0,0.0364075647754728,0.0360715,0.035089249999999995,6052165000.0,6225044000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.html,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,405146504.25,14:46:57,5052627.25
14,3.5,2006-09-30,AAPL,USD,2006-12-29,2006-12-29 06:05:58,FY,4828750000.0,3429250000.0,1399500000.0,0.07245663991716282,178000000.0,608250000.0,0.0,-7250000.0,786250000.0,4215500000.0,0.0,56250000.0,669500000.0,0.03466217965311934,613250000.0,0.03174993528345845,-7250000.0,704500000.0,0.03647424281646389,207250000.0,497250000.0,0.025744240227802227,0.0210715,0.02026775,5908406000.0,6142682000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,405146504.25,14:46:57,5052627.25
15,3.75,2005-09-24,AAPL,USD,2005-12-01,2005-11-30 21:22:48,FY,3482750000.0,2472000000.0,1010750000.0,0.07255401622281242,133500000.0,464750000.0,0.0,0.0,598250000.0,3070250000.0,0.0,44750000.0,457250000.0,0.03282248223386692,412500000.0,0.029610221807479718,-4500000.0,453750000.0,0.032571243988227694,120000000.0,333750000.0,0.023957361280597233,0.014732249999999999,0.0139285,5659073000.0,5997460000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,405146504.25,14:46:57,5052627.25
16,4.0,2004-09-25,AAPL,USD,2004-12-03,2004-12-02 18:05:49,FY,2069750000.0,1505000000.0,564750000.0,0.06821476023674357,122250000.0,355250000.0,0.0,-2250000.0,477500000.0,1982500000.0,750000.0,37500000.0,124750000.0,0.015068244957120424,87250000.0,0.010538712404879816,-6750000.0,95750000.0,0.011565406450054355,26750000.0,69000000.0,0.00833433989612272,0.0033034999999999996,0.0031697500000000003,5202260000.0,5422354000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,405146504.25,14:46:57,5052627.25
17,4.25,2003-09-27,AAPL,USD,2003-12-19,2003-12-19 17:25:45,FY,1551750000.0,1124750000.0,427000000.0,0.06879329788947962,117750000.0,303000000.0,0.0,-1250000.0,420750000.0,1545500000.0,2000000.0,28250000.0,34500000.0,0.0055582406959884,6250000.0,0.0010069276623167393,1500000.0,23000000.0,0.0037054937973256,6000000.0,17250000.0,0.0027791203479942,0.0008541576134212374,0.0008474952658177501,5048834000.0,5088524000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,405146504.25,14:46:57,5052627.25
18,4.5,2002-09-28,AAPL,USD,2002-12-19 00:00:00,2002-12-19 17:20:21,FY,1435500000.0,1034750000.0,400750000.0,0.06979275513758272,111750000.0,277750000.0,0.0,1250000.0,389500000.0,1424250000.0,2750000.0,28500000.0,39750000.0,0.006922675026123302,11250000.0,0.001959247648902821,-16250000.0,21750000.0,0.0037878787878787884,5500000.0,16250000.0,0.0028300243817485195,0.0008173537736494397,0.000802074633908458,4970308000.0,5064990000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/0001047469-02-007674-index.html,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/a2096490z10-k.htm,405146504.25,14:46:57,5052627.25
19,4.75,2001-09-29,AAPL,USD,2001-12-21,2001-12-21 00:00:00,FY,1340750000.0,1032000000.0,308750000.0,0.0575703897072534,110250000.0,284500000.0,0.0,2000000.0,394750000.0,1426750000.0,4000000.0,25000000.0,-61000000.0,-0.011374230840947231,-86000000.0,-0.016035800857728884,22500000.0,-13000000.0,-0.002424016408726459,-3750000.0,-6250000.0,-0.0011653925041954132,-0.0003125,-0.0003125,4838582000.0,4838582000.0,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,405146504.25,14:46:57,5052627.25
20,5.0,2000-09-30,AAPL,USD,2000-12-14 00:00:00,2000-12-14 00:00:00,FY,1995750000.0,1454250000.0,541500000.0,0.06783164223975949,95000000.0,291500000.0,0.0,1500000.0,386500000.0,1840750000.0,5250000.0,21000000.0,176000000.0,0.022046849555305024,155000000.0,0.01941625955154704,70750000.0,273000000.0,0.034197670048853816,76500000.0,196500000.0,0.024614806463735442,0.010803499999999999,0.009732250000000001,4543952000.0,5044536000.0,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.html,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/a2032880z10-k.txt,405146504.25,14:46:57,5052627.25
21,5.25,1999-09-25,AAPL,USD,1999-12-22 00:00:00,1999-12-22 00:00:00,FY,1533500000.0,1109500000.0,424000000.0,0.0691229214215846,78500000.0,249000000.0,0.0,-500000.0,327500000.0,1437000000.0,11750000.0,21250000.0,117750000.0,0.01919628301271601,96500000.0,0.01573198565373329,48250000.0,169000000.0,0.02755135311379198,18750000.0,150250000.0,0.0244946201499837,0.009375,0.008058,4008396000.0,4876592000.0,https://www.sec.gov/Archives/edgar/data/320193/000091205799010244/0000912057-99-010244-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000912057-99-010244.txt,405146504.25,14:46:57,5052627.25
22,5.5,1998-09-25,AAPL,USD,1998-09-25,1998-09-25,FY,1485250000.0,1115500000.0,369750000.0,0.062236997138528864,77500000.0,227000000.0,0.0,-2000000.0,304500000.0,1420000000.0,15500000.0,27750000.0,93000000.0,0.015653930314761824,65250000.0,0.010982999495034508,7500000.0,82250000.0,0.013844470627840434,5000000.0,77250000.0,0.013002861471132804,0.0052232500000000005,0.0046875,3695272000.0,4701676000.0,,,405146504.25,14:46:57,5052627.25
23,5.75,1997-09-26,AAPL,USD,1997-12-05 00:00:00,1997-12-05 00:00:00,FY,1770250000.0,1428250000.0,342000000.0,0.04829826295720943,215000000.0,321500000.0,0.0,750000.0,536500000.0,1964750000.0,17750000.0,29500000.0,-165000000.0,-0.023301793531987008,-194500000.0,-0.02746787176952408,-69500000.0,-261250000.0,-0.036894506425646095,0.0,-261250000.0,-0.036894506425646095,-0.0185045,-0.0185045,3529736000.0,3529736000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746997006960/0001047469-97-006960-index.html,https://www.sec.gov/Archives/edgar/data/320193/0001047469-97-006960.txt,405146504.25,14:46:57,5052627.25
24,6.0,1996-09-27,AAPL,USD,1996-12-19 00:00:00,1996-12-19 00:00:00,FY,2458250000.0,2216250000.0,242000000.0,0.02461100376283942,151000000.0,392000000.0,0.0,-750000.0,543000000.0,2759250000.0,15000000.0,39000000.0,-262000000.0,-0.026644971015966645,-301000000.0,-0.03061120715956473,-22750000.0,-323750000.0,-0.03292484490999695,-119750000.0,-204000000.0,-0.02074646598189769,-0.014709749999999999,-0.014709749999999999,3464552000.0,3464552000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019396000023/0000320193-96-000023-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000320193-96-000023.txt,405146504.25,14:46:57,5052627.25
25,6.25,1995-09-29,AAPL,USD,1995-12-19 00:00:00,1995-12-19 00:00:00,FY,2765500000.0,2051000000.0,714500000.0,0.06459048996564816,153500000.0,395750000.0,0.0,-250000.0,549250000.0,2600250000.0,12000000.0,31750000.0,197000000.0,0.017808714518170312,165250000.0,0.014938528295064184,-9750000.0,168500000.0,0.015232326884830952,62500000.0,106000000.0,0.009582354004700777,0.007701,0.007701,3445316000.0,3445316000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019395000016/0000320193-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000320193-95-000016.txt,405146504.25,14:46:57,5052627.25
26,6.5,1994-09-30,AAPL,USD,1994-12-13 00:00:00,1994-12-13 00:00:00,FY,2297187000.0,1711228750.0,585958250.0,0.06376910652027892,141075750.0,346027750.0,0.0,2171250.0,487103500.0,2198332250.0,9913250.0,41989500.0,140844250.0,0.015327904302087728,98854750.0,0.010758239316172345,25309000.0,125071500.0,0.01361137556498448,47527000.0,77544500.0,0.008439071351178638,0.005831150100163029,0.005827469128380246,3324580000.0,3326680000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019394000016/0000320193-94-000016-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000320193-94-000016.txt,405146504.25,14:46:57,5052627.25
27,6.75,1993-09-30,AAPL,USD,1993-09-30,1993-09-30,FY,1994250000.0,1270675000.0,723575000.0,0.09070765952112322,0.0,654450000.0,0.0,0.0,695975000.0,1966650000.0,0.0,41525000.0,69125000.0,0.008665538422966029,27600000.0,0.003459947348627303,7325000.0,34925000.0,0.004378212360536542,13275000.0,21650000.0,0.002714052902093519,0.0016517499999999998,0.0016517499999999998,3276756756.75,3276756756.75,,,405146504.25,14:46:57,5052627.25
28,7.0,1992-09-30,AAPL,USD,1992-09-30,1992-09-30,FY,1771625000.0,943550000.0,828075000.0,0.11685246595639598,0.0,572350000.0,0.0,0.0,626650000.0,1570200000.0,0.0,54300000.0,255725000.0,0.03608622027799337,201425000.0,0.0284237634939674,12400000.0,213875000.0,0.0301806251322938,81275000.0,132600000.0,0.018711634798560643,0.0096875,0.0096875,3421935483.75,3421935483.75,,,405146504.25,14:46:57,5052627.25
29,7.25,1991-09-30,AAPL,USD,1991-09-30,1991-09-30,FY,1577200000.0,777425000.0,799775000.0,0.12677133527770734,0.0,636850000.0,0.0,0.0,687950000.0,1465375000.0,0.0,51100000.0,162925000.0,0.02582503804209992,111825000.0,0.017725240933299517,13100000.0,124925000.0,0.01980170555414659,47475000.0,77450000.0,0.012276502662946994,0.005759,0.005759,3362170542.75,3362170542.75,,,405146504.25,14:46:57,5052627.25
30,7.5,1990-09-30,AAPL,USD,1990-09-30,1990-09-30,FY,1389600000.0,600875000.0,788725000.0,0.14189784830166954,0.0,560050000.0,0.0,0.0,610725000.0,1211600000.0,0.0,50675000.0,228675000.0,0.04114043609671848,178000000.0,0.032023603914795626,16625000.0,194625000.0,0.0350145725388601,75900000.0,118725000.0,0.021359563903281517,0.0084375,0.0084375,3517777777.75,3517777777.75,,,405146504.25,14:46:57,5052627.25
31,7.75,1989-09-30,AAPL,USD,1989-09-30,1989-09-30,FY,1321000000.0,642500000.0,678500000.0,0.12840651021953065,0.0,488725000.0,0.0,0.0,519925000.0,1162425000.0,0.0,31200000.0,189775000.0,0.03591502649507949,158575000.0,0.030010408781226336,27500000.0,186075000.0,0.035214799394398186,72575000.0,113500000.0,0.021479939439818317,0.007901749999999999,0.007901749999999999,3590960452.0,3590960452.0,,,405146504.25,14:46:57,5052627.25
32,8.0,1988-09-30,AAPL,USD,1988-09-30,1988-09-30,FY,1017850000.0,478300000.0,539550000.0,0.1325219826104043,0.0,365050000.0,0.0,0.0,384475000.0,862775000.0,0.0,19425000.0,174500000.0,0.04285994989438523,155075000.0,0.03808886378150022,8950000.0,164050000.0,0.040293265215896254,63975000.0,100075000.0,0.024579997052610894,0.006875,0.006875,3639090909.0,3639090909.0,,,405146504.25,14:46:57,5052627.25
33,8.25,1987-09-30,AAPL,USD,1987-09-30,1987-09-30,FY,665275000.0,306425000.0,358850000.0,0.13485024989665928,0.0,248350000.0,0.0,0.0,265975000.0,572400000.0,0.0,17625000.0,110500000.0,0.04152418172936004,92875000.0,0.034900980797414605,9725000.0,102600000.0,0.038555484574048324,48225000.0,54375000.0,0.020433279470895495,0.00370525,0.00370525,3668674698.75,3668674698.75,,,405146504.25,14:46:57,5052627.25
34,8.5,1986-09-30,AAPL,USD,1986-09-30,1986-09-30,FY,475475000.0,210000000.0,265475000.0,0.1395841001104159,0.0,184325000.0,0.0,0.0,197100000.0,407100000.0,0.0,12775000.0,81150000.0,0.04266785845733214,68375000.0,0.03595089121404911,9050000.0,77450000.0,0.04072243545927756,38950000.0,38500000.0,0.020242914979757085,0.0026785,0.0026785,3593333333.25,3593333333.25,,,405146504.25,14:46:57,5052627.25
35,8.75,1985-09-30,AAPL,USD,1985-09-30,1985-09-30,FY,479575000.0,269000000.0,210575000.0,0.10977167283532294,0.0,163300000.0,0.0,0.0,173750000.0,442750000.0,0.0,10450000.0,47275000.0,0.024644216233123076,36825000.0,0.019196684564458114,-6800000.0,30000000.0,0.015638846895688892,14700000.0,15300000.0,0.007975811916801332,0.001116,0.001116,3427200000.0,3427200000.0,,,405146504.25,14:46:57,5052627.25
