Quarter & Year,index,date,filing_date,accepted_date,net_revenue,cost_of_sales,gross_profit_margin_non,gross_profit_margin_ratio,r_n_d,g_n_a,s_n_m,other_income,total_opex,cost_expenses,interest_expense,d_n_a,ebitda_non,ebitda_margin,operating_income,operating_margin,total_other_income,pretax_income_non,pretax_income_margin,income_tax_expense,net_income,profit_margin,eps_non,eps_diluted,shares_outstanding_non,shares_outstanding_diluted,sec_filing_link,sec_statement_link,cash_non,short_term_investments,cash_n_short_term_investments,inventory,other_current_assets,total_current_assets,pp_n_e,goodwill,intangible_assets,goodwill_n_intangible_assets,long_term_investments,tax_assets,other_assets,total_assets,accounts_payable,short_term_debt,income_tax_payables,deferred_revenue,other_current_liabilities,total_current_liabilities,long_term_debt,deferred_revenue_non_current,deferred_tax_liabilities_non_current,other_non_current_liabilities,total_non_current_liabilities,other_liabilities,total_liabilities,common_stock,retained_earnings,accumulated_other_comprehensive_income,other_se,total_se,total_l_se,total_investments,total_debt,net_debt,deferred_income_tax,sbc,change_in_working_capital,accounts_receivable,other_working_capital,other_non_cash_items,net_cash_by_operating_activities,investments_in_pp_n_e,acquisitions_net,purchase_of_investments,sales_maturities_of_investments,other_investing_activities,net_cash_used_for_investing_activities,debt_repayment,common_stock_issued,common_stock_repurchased,dividends_paid,other_financing_activities,net_cash_used_provided_by_financing_activities,effect_of_fx_rate_changes_on_cash,net_change_in_cash,cash_at_end_of_period,cash_at_beginning_of_period,operating_cash_flow,capex,free_cash_flow,QQ-YYYY,Year,ffo_math,book_value_math,ebit_math,working_capital_math,quick_assets_math,quick_ratio_math,current_ratio,repeater,Quarter & Year
Q3-2020,0,1601424000000,2020-10-30,2020-10-29 19:30:04,46173000000,21117000000.0,25056000000,0.5426547982587226,6856000000.0,2756000000,4231000000.0,2146000000.0,13843000000,34960000000,0.0,3289000000.0,14502000000,0.3140796569423689,11213000000,0.2428475515994196,2146000000.0,13359000000,0.2893249301539861,2112000000.0,11247000000.0,0.24358391267623936,36.69,36.69,682529299,682529299,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000050/0001652044-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000050/goog-20200930.htm,20129000000,112467000000,132596000000,835000000.0,6013000000,164369000000,11946000000,20870000000,1520000000,22390000000,14656000000.0,972000000.0,0.0,299243000000,4391000000,454000000.0,1099000000.0,2302000000.0,39954000000,48200000000,13902000000.0,454000000.0,1973000000.0,2194000000,18523000000,19600000000,86323000000,0.001,155567000000,46000000.0,57306999999.999,212920000000,299243000000,127123000000,14356000000.0,-5773000000,136000000.0,3195000000.0,10758000000.0,-3601000000.0,116169000000.0,0.0,17003000000,-5406000000.0,-13000000.0,-40821000000.0,31877000000.0,0.0,-406000000,-61000000.0,0.0,0.0,0.0,0.0,546000000.0,0.0,2387000000.0,0.0,17742000000.0,17003000000,5406000000,11597000000,Q3-2020,2020,173000000.0,212920000000,11213000000.0,116169000000,128995000000.0,163534000000.0,0.29324264307746595,0.28649160488616254,Q3-2020
Q4-2019,0,1577750400000,2020-02-04,2020-02-03 21:03:59,46075000000,21020000000.0,25055000000,0.543787,7222000000.0,8567000000,5738000000.0,1438000000.0,15789000000,36809000000,17000000.0,3413000000.0,14134000000,0.306761,9266000000,0.20110699999999998,-110000000.0,10704000000,0.232317,33000000.0,10671000000.0,0.23160100000000003,15.349689999999999,15.349689999999999,695193000,695193000,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,18498000000,101177000000,119675000000,999000000.0,4412000000,152578000000,84587000000,20624000000,1979000000,22603000000,13078000000.0,1701000000.0,7475000000.0,275909000000,5561000000,0.0,274000000.0,1908000000.0,20117000000,45221000000,4554000000.0,358000000.0,1701000000.0,22991000000,29246000000,22991000000,74467000000,688340.0,152122000000,-1232000000.0,-2044000000.0,201442000000,275909000000,114255000000,4554000000.0,-13944000000,-208000000.0,2645000000.0,-1777000000.0,-4365000000.0,107357000000.0,1773000000.0,14427000000,-6052000000.0,-2142000000.0,-25878000000.0,23150000000.0,6219000000.0,-4703000000,-47000000.0,0.0,-6098000000.0,0.0,-1181000000.0,-7326000000.0,68000000.0,2466000000.0,18498000000.0,16032000000.0,14427000000,-6052000000,8375000000,Q4-2019,2019,3162000000.0,201442000000,10721000000.0,107357000000,115310000000.0,151579000000.0,0.2963795566857607,0.26607845578426503,Q4-2019
Q4-2018,0,1546214400000,2019-02-05,2019-02-04 21:06:38,39276000000,17918000000.0,21358000000,0.5437930000000001,6034000000.0,7103000000,5100000000.0,1869000000.0,13137000000,31055000000,29000000.0,2580000000.0,12681000000,0.322869,8221000000,0.209314,177000000.0,10072000000,0.256442,1124000000.0,8948000000.0,0.22782399999999997,12.76644,12.76644,700900000,700900000,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,16701000000,92439000000,109140000000,1107000000.0,4236000000,135676000000,59719000000,17888000000,2220000000,20108000000,13859000000.0,1264000000.0,3943000000.0,232792000000,4378000000,0.0,69000000.0,1784000000.0,16242000000,34620000000,4012000000.0,396000000.0,1264000000.0,15268000000,20544000000,15268000000,55164000000,695560.0,134885000000,-2306000000.0,-1618000000.0,177628000000,232792000000,106298000000,4012000000.0,-12689000000,55000000.0,2253000000.0,2655000000.0,-2887000000.0,101056000000.0,909000000.0,12987000000,-7081000000.0,-39000000.0,-16423000000.0,13988000000.0,2679000000.0,-6876000000,-5000000.0,0.0,-1700000000.0,0.0,-91000000.0,-2746000000.0,-107000000.0,3258000000.0,16701000000.0,13443000000.0,12987000000,-7081000000,5906000000,Q4-2018,2018,1973000000.0,177628000000,10101000000.0,101056000000,106253000000.0,134569000000.0,0.25516672071700225,0.2356327322924915,Q4-2018
Q4-2017,0,1514678400000,2018-02-06,2018-02-05 20:46:29,32323000000,14267000000.0,18056000000,0.558612,4306000000.0,6086000000,4310000000.0,354000000.0,10392000000,24659000000,36000000.0,2026000000.0,256000000,0.00792,7664000000,0.237107,-9000000.0,8018000000,0.248059,1214000000.0,-3020000000.0,-0.093432,-4.34532,-4.34532,695000000,695000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,10715000000,91156000000,101871000000,749000000.0,2983000000,124308000000,42383000000,16747000000,2692000000,19439000000,7813000000.0,430000000.0,3432000000.0,197295000000,3137000000,0.0,881000000.0,1432000000.0,6640000000,24183000000,3969000000.0,340000000.0,430000000.0,16211000000,20610000000,16211000000,44793000000,1000000.0,113247000000,-992000000.0,-1225000000.0,152502000000,197295000000,98969000000,3969000000.0,-6746000000,16000000.0,1868000000.0,1473000000.0,-3049000000.0,100125000000.0,1919000000.0,10268000000,-4307000000.0,-14000000.0,-16461000000.0,11689000000.0,2119000000.0,-6974000000,-1615000000.0,0.0,-2101000000.0,0.0,538000000.0,-3178000000.0,18000000.0,134000000.0,10715000000.0,10581000000.0,10268000000,-4307000000,5961000000,Q4-2017,2017,-10087000000.0,152502000000,-1770000000.0,100125000000,98822000000.0,123559000000.0,0.1945409788589632,0.1686036849687961,Q4-2017
Q4-2016,0,1483142400000,2017-02-03,2017-02-02 18:13:47,26064000000,10661000000.0,15403000000,0.590968,3622000000.0,5142000000,3118000000.0,434000000.0,8764000000,19425000000,33000000.0,1687000000.0,8577000000,0.329075,6639000000,0.25471900000000003,-227000000.0,6857000000,0.263083,1524000000.0,5333000000.0,0.204612,7.7178,7.7178,691000000,691000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,12918000000,73415000000,86333000000,268000000.0,4575000000,105408000000,34234000000,16468000000,3307000000,19775000000,5878000000.0,226000000.0,2798000000.0,167497000000,2041000000,0.0,554000000.0,1099000000.0,4608000000,16756000000,3935000000.0,202000000.0,226000000.0,7544000000,11705000000,7544000000,28461000000,1000000.0,105131000000,-2402000000.0,-2223000000.0,139036000000,167497000000,79293000000,3935000000.0,-8983000000,-157000000.0,1846000000.0,4429000000.0,-2279000000.0,88652000000.0,1974000000.0,9413000000,-3078000000.0,-662000000.0,-13986000000.0,13010000000.0,14000000.0,-4702000000,-13000000.0,0.0,0.0,0.0,-879000000.0,-892000000.0,-307000000.0,3512000000.0,12918000000.0,9406000000.0,9413000000,-3078000000,6335000000,Q4-2016,2016,2304000000.0,139036000000,6890000000.0,88652000000,84054000000.0,105140000000.0,0.15896326654523377,0.1706862978936696,Q4-2016
Q4-2015,0,1451520000000,2016-02-11,2016-02-11 16:38:35,21329000000,8188000000.0,13141000000,0.61611,3510000000.0,4251000000,2679000000.0,291000000.0,7761000000,15949000000,26000000.0,1404000000.0,6630000000,0.310844,5380000000,0.252239,145000000.0,5200000000,0.2438,277000000.0,4923000000.0,0.23081300000000002,7.06313,7.06313,697000000,697000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm,16549000000,56517000000,73066000000,0.0,3139000000,90114000000,29016000000,15869000000,3847000000,19716000000,5183000000.0,189000000.0,4060000000.0,147461000000,1931000000,2000000000.0,302000000.0,788000000.0,5861000000,19310000000,1995000000.0,151000000.0,189000000.0,5636000000,7820000000,5636000000,27130000000,1000000.0,89223000000,-1874000000.0,-1788000000.0,120331000000,147461000000,61700000000,5220000000.0,-11329000000,387000000.0,1436000000.0,1158000000.0,-1758000000.0,70804000000.0,1793000000.0,6609000000,-2100000000.0,8000000.0,-20332000000.0,16045000000.0,892000000.0,-5487000000,-3387000000.0,0.0,-1780000000.0,0.0,-15266000000.0,-2559000000.0,-82000000.0,-1519000000.0,16549000000.0,18068000000.0,6609000000,-2102000000,4507000000,Q4-2015,2015,-52000000.0,120331000000,5226000000.0,70804000000,71308000000.0,90114000000.0,0.21428412899216548,0.20214172480568943,Q4-2015
Q4-2014,0,1419984000000,,,18103000000,6921000000.0,11182000000,0.617688,2813000000.0,3970000000,0.0,0.0,6783000000,13704000000,-86000000.0,1267000000.0,6675000000,0.368723,4399000000,0.242998,214000000.0,4527000000,0.250069,819000000.0,4675000000.0,0.25824400000000003,6.79506,6.79506,688000000,688000000,,,18347000000,46048000000,64395000000,0.0,3412000000,78656000000,23883000000,15599000000,4607000000,20206000000,3079000000.0,758000000.0,4215000000.0,129187000000,1715000000,2000000000.0,0.0,0.0,5582000000,16779000000,3228000000.0,0.0,0.0,4562000000,8548000000,4562000000,25327000000,1000000.0,75066000000,27000000.0,-394000000.0,103860000000,129187000000,49127000000,5237000000.0,-13110000000,394000000.0,0.0,-318000000.0,-1146000000.0,61877000000.0,936000000.0,7172000000,0.0,0.0,0.0,0.0,0.0,-3241000000,0.0,0.0,0.0,0.0,0.0,-992000000.0,-197000000.0,2742000000.0,18347000000.0,15605000000.0,7172000000,-3606000000,3566000000,Q4-2014,2014,5942000000.0,103860000000,5408000000.0,61877000000,63249000000.0,78656000000.0,0.21332129780309195,0.2181220626532211,Q4-2014
Q4-2013,0,1388448000000,,,15707000000,6253000000.0,9454000000,0.601897,1933000000.0,3092000000,0.0,0.0,5025000000,11278000000,65000000.0,1036000000.0,5136000000,0.326988,4429000000,0.281976,104000000.0,4541000000,0.289107,846000000.0,3189000000.0,0.20303,3.4700800000000003,3.4700800000000003,919000000,919000000,,,18898000000,39819000000,58717000000,0.0,4779000000,72886000000,16524000000,11492000000,6066000000,17558000000,1976000000.0,1947000000.0,3734000000.0,110920000000,2453000000,0.0,0.0,0.0,4193000000,15908000000,2236000000.0,0.0,0.0,3520000000,7703000000,3520000000,23611000000,1000000.0,61262000000,125000000.0,75000000.0,87309000000,110920000000,41795000000,5245000000.0,-13653000000,-562000000.0,0.0,2595000000.0,-961000000.0,56978000000.0,790000000.0,5238000000,0.0,0.0,0.0,0.0,0.0,-1617000000,0.0,0.0,0.0,0.0,0.0,32000000.0,3000000.0,3656000000.0,18898000000.0,15242000000.0,5238000000,-2255000000,2983000000,Q4-2013,2013,4225000000.0,87309000000,4100000000.0,56978000000,57756000000.0,72886000000.0,0.21825865049529403,0.2171831984816676,Q4-2013
Q4-2012,0,1356912000000,,,14419000000,6213000000.0,8206000000,0.56911,1935000000.0,2877000000,0.0,0.0,4812000000,11025000000,0.0,953000000.0,4478000000,0.310562,3394000000,0.235384,152000000.0,3546000000,0.24592600000000003,639000000.0,2886000000.0,0.200153,4.30746,4.30746,670000000,670000000,,,14778000000,33310000000,48088000000,505000000.0,3276000000,60454000000,11854000000,10537000000,7473000000,18010000000,1469000000.0,1872000000.0,3155000000.0,93798000000,2012000000,0.0,0.0,0.0,4279000000,14337000000,2988000000.0,0.0,0.0,2886000000,7746000000,2886000000,22083000000,0.0,48342000000,538000000.0,-66000000.0,71715000000,93798000000,34779000000,5537000000.0,-9241000000,-289000000.0,0.0,3730000000.0,-626000000.0,46117000000.0,637000000.0,4669000000,0.0,0.0,0.0,0.0,0.0,-5514000000,0.0,0.0,0.0,0.0,0.0,-692000000.0,55000000.0,-1482000000.0,14778000000.0,16260000000.0,4669000000,-1020000000,3649000000,Q4-2012,2012,3839000000.0,71715000000,3525000000.0,46117000000,47462000000.0,59949000000.0,0.2371555232077282,0.23074624251542902,Q4-2012
Q4-2011,0,1325289600000,,,10584000000,3702000000.0,6882000000,0.650227,1298000000.0,2077000000,0.0,0.0,3375000000,7077000000,0.0,503000000.0,3992000000,0.377173,3507000000,0.331349,-18000000.0,3489000000,0.32964899999999997,784000000.0,2705000000.0,0.25557399999999997,4.11094,4.11094,658000000,658000000,,,9983000000,34643000000,44626000000,35000000.0,1925000000,52758000000,9603000000,7346000000,1578000000,8924000000,790000000.0,287000000.0,714000000.0,72574000000,588000000,0.0,0.0,0.0,3919000000,8913000000,2986000000.0,0.0,0.0,2243000000,5516000000,2243000000,14429000000,0.0,37605000000,276000000.0,-51000000.0,58145000000,72574000000,35433000000,4204000000.0,-5779000000,-183000000.0,0.0,2691000000.0,-844000000.0,43845000000.0,625000000.0,3924000000,0.0,0.0,0.0,0.0,0.0,-4559000000,0.0,0.0,0.0,0.0,0.0,40000000.0,-52000000.0,-647000000.0,9983000000.0,10630000000.0,3924000000,-951000000,2973000000,Q4-2011,2011,3208000000.0,58145000000,3489000000.0,43845000000,43782000000.0,52723000000.0,0.1689412032298419,0.18248255933896063,Q4-2011
Q4-2010,0,1293753600000,,,8440000000,2946000000.0,5494000000,0.650948,1051000000.0,1461000000,0.0,0.0,2512000000,5458000000,157000000.0,381000000.0,3680000000,0.43601899999999993,2982000000,0.35331799999999997,3000000.0,3142000000,0.372275,599000000.0,2543000000.0,0.30130300000000004,3.9063,3.9063,651000000,651000000,,,13630000000,21345000000,34975000000,0.0,1585000000,41562000000,7759000000,6256000000,1044000000,7300000000,523000000.0,0.0,966000000.0,57851000000,483000000,0.0,0.0,0.0,3677000000,9996000000,0.0,0.0,0.0,1614000000,1614000000,1614000000,11610000000,0.0,27868000000,138000000.0,44000000.0,46241000000,57851000000,21868000000,3465000000.0,-10165000000,-14000000.0,0.0,649000000.0,-636000000.0,31566000000.0,340000000.0,3526000000,0.0,0.0,0.0,0.0,0.0,-2849000000,0.0,0.0,0.0,0.0,0.0,1752000000.0,-56000000.0,2373000000.0,13630000000.0,11257000000.0,3526000000,-2545000000,981000000,Q4-2010,2010,2924000000.0,46241000000,3299000000.0,31566000000,34339000000.0,41562000000.0,0.24050815648910062,0.17851355391209145,Q4-2010
Q4-2009,0,1262217600000,,,6674000000,2408000000.0,4265000000,0.639047,736000000.0,1048000000,0.0,0.0,1785000000,4193000000,83000000.0,365000000.0,3017000000,0.452053,2481000000,0.371741,5000000.0,2569000000,0.384927,595000000.0,1974000000.0,0.295775,3.06522,3.06522,644000000,644000000,,,10198000000,14287000000,24485000000,0.0,1480000000,29167000000,4845000000,4903000000,775000000,5678000000,129000000.0,0.0,1323000000.0,40497000000,216000000,0.0,0.0,0.0,979000000,2747000000,0.0,0.0,0.0,1745000000,1746000000,1745000000,4493000000,0.0,20082000000,210000000.0,105000000.0,36004000000,40497000000,14416000000,0.0,-10198000000,20000000.0,0.0,2388000000.0,-371000000.0,26420000000.0,257000000.0,2731000000,0.0,0.0,0.0,0.0,0.0,-4773000000,0.0,0.0,0.0,0.0,0.0,158000000.0,-6000000.0,-1889000000.0,10199000000.0,12088000000.0,2731000000,-221000000,2510000000,Q4-2009,2009,2339000000.0,36004000000,2652000000.0,26420000000,24114000000.0,29167000000.0,0.09418178077964823,0.09128764574170367,Q4-2009
Q4-2008,0,1230681600000,,,5701000000,2190000000.0,3511000000,0.615857,733000000.0,917000000,0.0,0.0,2745000000,4935000000,68000000.0,385000000.0,1288000000,0.225925,765000000,0.134187,1000000.0,835000000,0.146466,453000000.0,382000000.0,0.067006,0.60252,0.60252,634000000,634000000,,,8657000000,7189000000,15846000000,0.0,1690000000,20178000000,5234000000,4840000000,997000000,5837000000,85000000.0,13000000.0,720000000.0,31768000000,178000000,0.0,0.0,0.0,832000000,2302000000,0.0,0.0,0.0,1214000000,1227000000,1214000000,3529000000,0.0,13562000000,454000000.0,227000000.0,28239000000,31768000000,7274000000,0.0,-8657000000,-100000000.0,0.0,2137000000.0,-101000000.0,17876000000.0,1320000000.0,2122000000,0.0,0.0,0.0,0.0,0.0,-1816000000,0.0,0.0,0.0,0.0,0.0,11000000.0,-30000000.0,286000000.0,8656000000.0,8370000000.0,2122000000,-367000000,1755000000,Q4-2008,2008,767000000.0,28239000000,903000000.0,17876000000,15745000000.0,20178000000.0,0.11408464664486075,0.1351849988287255,Q4-2008
Q4-2007,0,1199059200000,,,4827000000,1956000000.0,2871000000,0.594779,631000000.0,799000000,0.0,0.0,1430000000,3386000000,165000000.0,290000000.0,2063000000,0.427388,1441000000,0.298529,2000000.0,1608000000,0.33312600000000003,402000000.0,1206000000.0,0.24984499999999998,1.8962299999999999,1.8962299999999999,636000000,636000000,,,6082000000,8137000000,14219000000,0.0,762000000,17289000000,4039000000,2299000000,447000000,2746000000,1060000000.0,0.0,271000000.0,25336000000,282000000,0.0,0.0,0.0,700000000,2036000000,0.0,0.0,0.0,611000000,610000000,611000000,2646000000,0.0,9335000000,226000000.0,113000000.0,22690000000,25336000000,9197000000,0.0,-6082000000,-164000000.0,0.0,1302000000.0,-275000000.0,15253000000.0,72000000.0,1693000000,0.0,0.0,0.0,0.0,0.0,-876000000,0.0,0.0,0.0,0.0,0.0,145000000.0,12000000.0,975000000.0,6082000000.0,5107000000.0,1693000000,-678000000,1015000000,Q4-2007,2007,1496000000.0,22690000000,1773000000.0,15253000000,13944000000.0,17289000000.0,0.1177627393140147,0.10222852708091501,Q4-2007
Q4-2006,0,1167523200000,,,3205000000,1283000000.0,1922000000,0.599688,387000000.0,475000000,0.0,0.0,862000000,2145000000,122000000.0,189000000.0,1496000000,0.466771,1061000000,0.331045,2000000.0,1185000000,0.369735,154000000.0,1031000000.0,0.321685,1.6443400000000001,1.6443400000000001,627000000,627000000,,,3545000000,7699000000,11244000000,0.0,474000000,13040000000,2395000000,1545000000,347000000,1892000000,1032000000.0,40000000.0,144000000.0,18473000000,211000000,0.0,0.0,0.0,476000000,1305000000,0.0,0.0,0.0,89000000,129000000,89000000,1434000000,0.0,5133000000,46000000.0,23000000.0,17040000000,18473000000,8731000000,0.0,-3545000000,0.0,0.0,1093000000.0,-291000000.0,11735000000.0,-118000000.0,911000000,0.0,0.0,0.0,0.0,0.0,-828000000,0.0,0.0,0.0,0.0,0.0,418000000.0,6000000.0,506000000.0,3544000000.0,3038000000.0,911000000,-367000000,544000000,Q4-2006,2006,1220000000.0,17039000000,1307000000.0,11735000000,10953000000.0,13040000000.0,0.10007668711656442,0.09838229617050688,Q4-2006
Q4-2005,0,1135987200000,,,1919000000,777000000.0,1142000000,0.595102,190000000.0,293000000,0.0,0.0,572000000,1349000000,68000000.0,95000000.0,803000000,0.418447,570000000,0.29703,2000000.0,640000000,0.333507,268000000.0,372000000.0,0.193851,0.6118399999999999,0.6118399999999999,608000000,608000000,,,3877000000,4157000000,8034000000,0.0,279000000,9001000000,962000000,195000000,83000000,278000000,14000000.0,35000000.0,66000000.0,10272000000,116000000,0.0,0.0,0.0,317000000,745000000,0.0,0.0,0.0,72000000,108000000,72000000,853000000,0.0,2056000000,-230000000.0,-115000000.0,9419000000,10272000000,4171000000,0.0,-3877000000,0.0,0.0,433000000.0,-146000000.0,8256000000.0,221000000.0,658000000,0.0,0.0,0.0,0.0,0.0,-2348000000,0.0,0.0,-1000000.0,0.0,0.0,51000000.0,-3000000.0,-1642000000.0,3877000000.0,5519000000.0,658000000,-251000000,407000000,Q4-2005,2005,467000000.0,9419000000,708000000.0,8256000000,7888000000.0,9001000000.0,0.08276858126874792,0.09919741413693914,Q4-2005
Q4-2004,0,1104451200000,,,1032000000,455000000.0,576000000,0.55814,123000000.0,150000000,0.0,0.0,274000000,729000000,0.0,53000000.0,363000000,0.351744,303000000,0.293605,7000000.0,310000000,0.300388,106000000.0,204000000.0,0.197674,0.35664,0.35664,572000000,572000000,,,427000000,1705000000,2132000000,0.0,179000000,2693000000,379000000,123000000,71000000,194000000,0.0,0.0,66000000.0,3313000000,33000000,0.0,0.0,0.0,159000000,340000000,0.0,0.0,0.0,44000000,44000000,44000000,384000000,0.0,590000000,-488000000.0,-244000000.0,2929000000,3313000000,1705000000,2000000.0,-425000000,0.0,0.0,267000000.0,-79000000.0,2353000000.0,117000000.0,368000000,0.0,0.0,0.0,0.0,0.0,-296000000,0.0,0.0,0.0,0.0,0.0,1000000.0,11000000.0,83000000.0,427000000.0,344000000.0,368000000,-96000000,272000000,Q4-2004,2004,257000000.0,2929000000,310000000.0,2353000000,2053000000.0,2693000000.0,0.12625324916450056,0.2387029404499326,Q4-2004
Q4-2003,0,1072828800000,,,512000000,254000000.0,259000000,0.5058590000000001,85000000.0,87000000,0.0,0.0,172000000,426000000,0.0,13000000.0,102000000,0.199219,86000000,0.167969,3000000.0,89000000,0.173828,62000000.0,27000000.0,0.052734,0.05143,0.05143,525000000,525000000,,,149000000,186000000,335000000,0.0,70000000,560000000,188000000,87000000,18000000,105000000,0.0,19000000.0,39000000.0,871000000,46000000,0.0,0.0,0.0,125000000,235000000,2000000.0,0.0,0.0,13000000,34000000,13000000,269000000,0.0,191000000,-736000000.0,-368000000.0,603000000,871000000,186000000,7000000.0,-142000000,0.0,0.0,0.0,0.0,325000000.0,90000000.0,86000000,0.0,0.0,0.0,0.0,0.0,-179000000,0.0,0.0,0.0,0.0,0.0,4000000.0,2000000.0,-87000000.0,-87000000.0,0.0,86000000,-57000000,29000000,Q4-2003,2003,40000000.0,602000000,89000000.0,325000000,335000000.0,560000000.0,0.41964285714285715,0.41964285714285715,Q4-2003
